4	600864	421	107	1
10	4913383	697	1577	2
-6	2030864	691	7	0
4	0	0		2
3	3678659	1064	0	1
16	412788	13	20	2
-3	2439279	255	153	1
0	303440	138	81	1
67	460032	305	39	2
2	106930	22	7503	2
10	162598	15	2641	2
0	2004351	521	263	1
5	734631	113	26	1
-1	4091875	1260	14	1
0	2420443	217	4	1
1	1505063	186	21	1
4	2149168	519	8	1
244	188726	40	8984	2
0	1385159	234	18	1
0	2384179	567	4	1
0	1933898	194	1977	2
0	3119416	1078	2527	1
-1	1230561	57	2	1
-10	1286704	26	886	0
-2	5473710	1910	1462	1
138	930255	121	1081	2
19	130218	30	1305	2
8	2786708	319	166	1
2	593706	463	516	0
47	1088819	294	21472	2
-2	2399236	195	30	2
-4	655491	217	8723	1
0	1497863	391	64794	1
2	1147609	702	8396	1
13	80998	9	1682	2
0	1717984	441	30	1
540	3968179	1488	15	2
5	3349776	70	1988	2
-806	924692	67	11617	0
126	1036881	704	6056	2
0	3611913	1041	3262	1
0	1104974	86	6182	1
0	2813783	367	2	1
-3	39997	5	34041	0
1	1508087	216	80	1
-1	598922	16	117230	1
-20	1572688	551	1031	0
-6	223113	378	1350	1
1	2741780	106	17	1
0	4454046	224	6	1
6	2580395	731	14	2
11	5295123	1897	0	1
0	1817601	111	8	1
5	51986	76	154	2
0	5277859	1887	21625	1
42	292355	172	3250	2
0	3789864	1451	22	0
-3	2802139	1168	46611	1
4	358927	216	4592	2
0	313848	177	5	1
52	875473	613	4078	2
1	43476	5	3467	1
22	6229296	1968	0	1
280	479625	42	9178	0
8	51815	74	7	0
7	1305252	256	448	2
-14	2099684	233	483	2
0	776417	91	1	1
0	3128606	108	4010	0
0	110904	110	771	1
0	973483	76	0	1
-3	2567706	911	35	0
6	253385	34	120	0
0	412231	270	34213	1
1	1406808	316	16453	1
2	420737	368	50	1
86	348547	132	38	2
132	15910	1	15910	2
0	37536	24	5731	0
91	481028	64	5111	2
-6	3144830	126	47	1
163	746186	134	57750	0
1	1631744	571	10	2
45	3114348	368	4734	2
5	310930	38	71	1
52	1698226	203	5	0
12	132773	30	0	0
0	668154	223	1064	1
4	1317645	300	1244	1
7	1642572	423	2923	1
-386	3264667	22	452	0
0	982205	50	1	1
1	4278433	1144	39	1
0	47329	8	11281	0
4	2691258	325	25	1
0	188653	14	1291	2
22	112052	7	64029	2
0	612055	165	5	1
0	3658369	403	29	1
0	51651	3	2996	1
0	2732144	225	36	1
0	2745856	160	1	1
-7	5094960	1741	0	0
0	0	0		1
6	4029232	213	1	1
95	757435	40	9	2
24	1736309	110	1013	2
0	24838	4	60	1
4	17228	1	17228	2
1	2755493	1166	785	1
2	585358	165	7	2
0	4839129	1687	1077	1
4	1676303	692	0	2
0	288690	228	2	1
696	2786947	357	19	2
3	217643	126	17226	1
3	0	0		2
8	624943	14	251	1
-17	921722	32	40	0
-1	132877	6	0	0
5	3648403	434	0	1
3	3471663	267	1835	1
-77	90032	85	1	0
0	2490561	302	40710	2
0	4078848	314	1	1
6	2456166	580	75	1
10	1046920	148	24473	2
9	259038	39	12	0
1	1166041	140	3	1
1	351060	249	1	1
1	2662389	1135	2692	1
1	2963097	159	0	1
1	843717	177	25861	0
0	2764689	337	18	1
3	2661132	280	157	2
3	671563	117	753	1
-2	1688004	706	10	0
3	1414452	526	1	1
-3	125214	29	12991	2
